time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-05-03T07:59:28.076Z,-45.372,166.8702,56.706,4.5,mwr,16,104,0.22,0.49,us,us6000mvxl,2024-05-03T23:56:01.268Z,"66 km W of Te Anau, New Zealand",earthquake,3.24,4.704,0.078,16,reviewed,us,us
2024-04-07T12:12:27.319Z,-55.0442,158.9391,10,4.8,mb,16,151,0.547,0.95,us,us7000mcg0,2024-05-12T05:14:40.040Z,Macquarie Island region,earthquake,10.08,1.912,0.167,11,reviewed,us,us
2024-04-05T10:27:23.584Z,-62.2762,154.777,10,4.6,mb,24,131,8.099,0.6,us,us7000mbq1,2024-05-14T07:34:07.040Z,Balleny Islands region,earthquake,12.25,1.925,0.122,22,reviewed,us,us
2024-03-31T17:04:30.729Z,-62.5195,156.6351,10,4.9,mb,17,114,8.134,0.73,us,us7000ma86,2024-04-11T14:26:14.040Z,Balleny Islands region,earthquake,7.56,1.855,0.149,14,reviewed,us,us
2024-03-31T17:01:51.297Z,-62.7214,156.0387,10,5.9,mww,47,100,8.384,0.55,us,us7000m936,2024-04-11T17:39:17.460Z,Balleny Islands region,earthquake,6.39,1.771,0.065,23,reviewed,us,us
2024-03-25T17:00:02.626Z,-59.0534,158.6345,10,5.5,mww,33,114,4.57,0.73,us,us7000m7xz,2024-04-11T15:16:39.472Z,Macquarie Island region,earthquake,11.1,1.912,0.071,19,reviewed,us,us
2024-03-22T10:36:33.408Z,-44.3426,167.9632,7.176,4.8,mwr,41,69,0.896,0.32,us,us6000mkgs,2024-04-18T13:20:58.580Z,"90 km NW of Arthurs Point, New Zealand",earthquake,3.57,4.091,0.044,50,reviewed,us,us
2024-03-16T00:14:51.989Z,-58.935,158.3538,10,5.9,mww,57,52,4.46,0.5,us,us6000mj77,2024-04-19T02:51:10.694Z,Macquarie Island region,earthquake,11.01,1.827,0.06,27,reviewed,us,us
2024-03-12T05:07:56.903Z,-59.212,158.865,10,4.6,mb,23,86,4.726,0.87,us,us7000m4t8,2024-04-04T15:02:27.040Z,Macquarie Island region,earthquake,10.83,1.859,0.141,15,reviewed,us,us
2024-03-05T19:52:52.612Z,-59.1953,158.7607,10,6.1,mww,77,41,4.71,1.18,us,us6000mgyj,2024-05-15T17:35:05.040Z,Macquarie Island region,earthquake,11.98,1.775,0.05,38,reviewed,us,us
2024-03-04T13:06:29.403Z,-59.2628,158.9642,10,4.5,mb,17,146,4.777,1.25,us,us7000m464,2024-05-15T17:35:06.040Z,Macquarie Island region,earthquake,15.34,1.794,0.181,9,reviewed,us,us
2024-03-04T05:50:41.379Z,-59.4229,160.0813,10,4.7,mb,20,108,4.977,0.56,us,us7000m45u,2024-05-15T17:35:07.040Z,Macquarie Island region,earthquake,10.79,1.914,0.11,25,reviewed,us,us
